identifiant	tei:title	marc:titre_propre	site:nom	site:prenom	Nom:majuscules	Nom :capitalisés 	Idref:key	Idref:url	site:promotion	benc:pp	site :tri	site :sexe	site :notBefore	site :notAfter	site :professeur	site :lodel	Commentaire	benc:volume	benc:autorite?	site:id?	Date d'édition	Promotion	TOME	"COTE Thèse AN 
AB XXVIII "	ppn thèse (NC=non catalogué)	Lieu	Début-Fin de période	Dimensions en cm	Cote Thèse BENC	Renseigner : contribue au constat d'état
ENC_1-1847-1865_PREV1		Règlement de la société de l'École royale des chartes fondée le 24 mars 1939								1-10								1-1847-1865			1843				NC					
ENC_1-1847-1865_PREV2		Ecole royale des chartes : Séance d'inauguration (5 mai 1847)								1-48								1-1847-1865			1847				NC					
ENC_1-1847-1865_PREV3		Ordonnance du roi portant réorganisation de l’'École royale des chartes								49-56								1-1847-1865			1846				NC					
ENC_1-1847-1865_PREV4		Discours prononcé par M. Letronne, directeur de l'École royale des chartes, à la séance d’inauguration de l'École, présidée par S.E.M. le ministre de l’instruction publique. Le 5 mai 1847								1-12								1-1847-1865			1847				NC					
ENC_1-1847-1865_PREV5		Requête présentée par la société de l'École impériale des chartes à l’effet d’être reconnue comme établissement d’utilité publique								1-30								1-1847-1865			1854				NC					
ENC_1-1847-1865_PREV6		 Cours d’histoire de la littérature provençale								1-30								1-1847-1865			NEANT				NC					
ENC_1-1847-1865_PREV7		A M. Arthur Giry / Simon Luce. Discours prononcé au banquet de la Société des anciens élèves de l’Ecole des chartes, 28 mai 1879								0-8								1-1847-1865			1879				NC					
ENCPOS_1849_01	Recherches sur l’origine et la nature des insurrections des habitants de Vézelay contre leurs abbés, pendant la première moitié du <abbr>xii<sup>e</sup></abbr> siècle	Recherches sur l’origine et la nature des insurrections des habitants de Vézelay contre leurs abbés, pendant la première moitié du xiie siècle	Bastard, De	Léon	LÉON DE BASTARD,	Léon de Bastard,	Bastard d'Estang, Léon de (1822-1860 ; Cte)	https://www.idref.fr/87486342	1849	1-2	bastard	1	1100	1150				1-1847-1865	Bastard, de, Léon	184901		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	1	NC		1100-1150			bon état
ENCPOS_1849_02	Marguilliers laïques des églises de Paris	Marguilliers laïques des églises de Paris	Boisserand	Dominique-Claude	D. C. BOISSERAND.	D. C. Boisserand.	Boisserand, Dominique-Claude	ABSENT	1849	3	boisserand	1	500	1789				1-1847-1865	Boisserand, Dominique-Claude 	184902		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		500-1789			bon état
ENCPOS_1849_03	Hugues_Capet dans l’histoire et le roman	Hugues-Capet dans l’histoire et le roman	Chatel	Eugène	EUG. CHATEL.	Eug. Chatel.	Chatel, Eugène (1820-1910)	https://www.idref.fr/083072373	1849	5-6	chatel	1	940	1849				1-1847-1865	Chatel, Eugène 	184903		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		940-1849			bon état
ENCPOS_1849_04	Essai sur les revenus publics en Normandie au <abbr>xii<sup>e</sup></abbr> siècle	Essai sur les revenus publics en Normandie au xiie siècle	Delisle	Léopold	LÉOPOLD DELISLE.	Léopold Delisle.	Delisle, Léopold (1826-1910) 	https://www.idref.fr/26820897	1849	7-8	delisle	1	1100	1199				1-1847-1865	Delisle, Léopold 	184904		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	2	NC		1100-1199			bon état
